Price,address,Type,City,Province,,Number of Bedrooms,Number of Bathrooms,Square Ft.,Sold_date
880000,3263 Pierview Cres ,Apartment, Vancouver,BC,V5S 0C3,2.00,2.50,926,4/4/2022
2525000,3896 Slocan St,Single House, Vancouver,BC,V5R 1Y5,7.00,3.50,2325,6/27/2022
575800,204-53 W Hastings St ,Apartment, Vancouver,BC,V6B 1G4,2.00,1.00,797,4/29/2022
608000,188 Keefer St ,Apartment, Vancouver,BC,V6A 1X4,1.00,1.00,520,10/31/2022
1388888,1925 Alberni St ,Apartment, Vancouver,BC,V6G 0A3,2.00,2.50,1038,11/22/2022
603000,1009 Harwood St ,Apartment, Vancouver,BC,V6Z 0C2,1.00,1.00,479,5/6/2022
1500000,1488 W Hastings St,Single House, Vancouver,BC,V6E 3X2,3.00,2.50,1308,5/2/2022
3243000,5741 Rhodes St,Single House, Vancouver,BC,V5R 3P3,6.00,6.50,3152,5/31/2022
520000,3660 Vanness Ave ,Apartment, Vancouver,BC,V5R 6H8,1.00,1.00,583,3/10/2022
550000,3480 Yardley Ave ,Apartment, Vancouver,BC,V5R,2.00,1.00,759,8/31/2022
704000,5663 Senlac St,Single House, Vancouver,BC,V5R 6G8,3.00,2.50,1400,3/29/2022
2180000,5636 Killarney St,Single House, Vancouver,BC,V5R 3W2,3.00,1.50,2492,4/29/2022
1850000,3338 Austrey Ave,Single House, Vancouver,BC,V5R 4V9,2.00,3.00,1977,6/29/2022
1560000,5114 Fairmont St,Single House, Vancouver,BC,V5R 3V3,5.00,2.00,2168,3/30/2022
1555000,5025 Earles St,Single House, Vancouver,BC,V5R 3R8,4.00,2.00,1957,2/28/2022
985000,150 Alexander St ,Apartment, Vancouver,BC,V6A 1B5,1.00,1.00,958,8/25/2022
1598000,1088 Quebec St ,Apartment, Vancouver,BC,V6A 4H2,3.00,2.00,1443,3/17/2022
924000,110 Switchmen St ,Apartment, Vancouver,BC,V6A 0C6,2.00,2.50,853,11/14/2022
2225000,1205 W Hastings St ,Apartment, Vancouver,BC,V6E 4T7,2.00,2.00,1277,6/8/2022
1850000,1277 Melville St ,Apartment, Vancouver,BC,V6E 0A4,2.00,2.00,1431,9/6/2022
1000000,1333 W Georgia St ,Apartment, Vancouver,BC,V6E 4V3,2.00,2.50,943,5/11/2022
575000,921 Thurlow St ,Apartment, Vancouver,BC,V6E 1W3,1.00,1.00,599,5/31/2022
950000,1238 Melville St ,Apartment, Vancouver,BC,V6E 4N2,2.00,2.50,946,5/31/2022
728000,1277 Nelson St ,Apartment, Vancouver,BC,V6E 4M8,1.00,1.00,736,8/12/2022
625000,1725 Pendrell St ,Apartment, Vancouver,BC,V6G 2X7,1.00,1.00,668,11/4/2022
1285000,1406 Harwood St ,Apartment, Vancouver,BC,V6G 1X5,2.00,1.00,929,7/29/2022
1069000,1288 Alberni St ,Apartment, Vancouver,BC,V6E 4N5,2.00,2.50,908,9/13/2022
2006000,1789 Davie St ,Apartment, Vancouver,BC,V6G 1W5,2.00,2.50,1430,10/11/2022
664500,1688 Robson St ,Apartment, Vancouver,BC,V6G 1C7,1.00,1.00,539,6/1/2022
820000,1200 Alberni St ,Apartment, Vancouver,BC,V6E 1A6,2.00,2.50,888,11/4/2022
6300000,4538 Langara Ave,Single House, Vancouver,BC,V6R 1C8,3.00,5.50,4088,4/18/2022
2694000,4218 W 13th Ave,Single House, Vancouver,BC,V6R 2T8,4.00,3.50,2879,11/12/2022
540000,1967 Barclay St ,Apartment, Vancouver,BC,V6G 1L1,1.00,1.00,549,10/27/2022
1200000,2681 E 18th Ave,Single House, Vancouver,BC,V5M 2P6,1.00,1.00,566,3/24/2022
3588000,3311 W 7th Ave,Single House, Vancouver,BC,V6R 1V9,6.00,4.00,2982,6/23/2022
8000000,4627 Bellevue Dr,Single House, Vancouver,BC,V6R 1E7,3.00,1.50,3490,4/28/2022
1378000,1867 W 3rd Ave ,Apartment, Vancouver,BC,V6J 1K9,3.00,2.00,1386,11/10/2022
752000,1333 W Georgia St ,Apartment, Vancouver,BC,V6E 4V3,1.00,1.00,668,3/30/2022
1250000,209 E 39th Ave,Single House, Vancouver,BC,V5W 1K1,2.00,1.00,1782,3/25/2022
665000,1331 W Georgia St ,Apartment, Vancouver,BC,V6E 4P1,1.00,1.00,556,5/10/2022
1015000,1088 Richards St ,Apartment, Vancouver,BC,V6B 0J8,2.00,2.00,872,5/30/2022
850000,4625 Valley Dr ,Apartment, Vancouver,BC,V6J 5L7,1.00,1.00,804,3/30/2022
