price_list,address,home_stat
"$1,488,000","1480 Howe St #2609, Vancouver, BC V6Z 0G5",2 Beds1 Bath900 Sq. Ft.
"$3,388,000","7887 Cartier St, Vancouver, BC V6P 4T3","7 Beds6 Baths3,384 Sq. Ft."
"$649,000","989 Nelson St #914, Vancouver, BC V6Z 2S1",1 Bed1 Bath616 Sq. Ft.
"$725,000","2212 Oxford St #205, Vancouver, BC V5L 1G1",2 Beds1 Bath870 Sq. Ft.
"$830,000","469 W King Edward Ave #201, Vancouver, BC V5Y 2J3",1 Bed1 Bath660 Sq. Ft.
"$549,900","5025 Joyce St #103, Vancouver, BC V5R 4G7",1 Bed2 Baths781 Sq. Ft.
"$2,599,900","1635 E 21st Ave, Vancouver, BC V5N 2N4","4 Beds3 Baths2,262 Sq. Ft."
"$3,760,000","3376 W King Edward Ave, Vancouver, BC V6S 1M3","4 Beds6 Baths3,009 Sq. Ft."
"$1,499,000","1863 Wesbrook Mall #4, Vancouver, BC V6T 2J7","2 Beds2.5 Baths1,342 Sq. Ft."
"$1,690,000","5775 Hampton Pl #1501, Vancouver, BC V6T 2G6","3 Beds2 Baths1,562 Sq. Ft."
"$639,000","1001 Richards St #505, Vancouver, BC V6B 1J6",1 Bed1 Bath517 Sq. Ft.
"$5,358,000","1967 W 57th Ave, Vancouver, BC V6P 1T9","6 Beds4 Baths4,913 Sq. Ft."
"$660,000","231 E Pender St #401, Vancouver, BC V6A 0G3",1 Bed1 Bath748 Sq. Ft.
"$2,286,000","2114 W 48th Ave, Vancouver, BC V6M 2P5","2 Beds2 Baths1,919 Sq. Ft."
"$1,149,900","3350 Rosemont Dr #11, Vancouver, BC V5S 2C9","4 Beds2.5 Baths2,000 Sq. Ft."
"$888,888","788 Richards St, Vancouver, BC V6B 0C7",1 Bed1 Bath713 Sq. Ft.
"$2,898,000","419 E 36th Ave, Vancouver, BC V5W 1C7","3 Beds3.5 Baths2,213 Sq. Ft."
"$987,800","3264 Vanness Ave #304, Vancouver, BC V5R 4V3",2 Beds2 Baths859 Sq. Ft.
"$1,599,800","3264 Vanness Ave Unit TH3, Vancouver, BC V5R 4V3","3 Beds2 Baths1,598 Sq. Ft."
"$1,246,000","3264 Vanness Ave #003, Vancouver, BC V5R 4V3","3 Beds3 Baths1,335 Sq. Ft."
"$681,800","3264 Vanness Ave #410, Vancouver, BC V5R 4V3",1 Bed1 Bath567 Sq. Ft.
"$2,288,800","2216 E 55th Ave, Vancouver, BC V5P 2A3","3 Beds1 Bath1,956 Sq. Ft."
"$989,000","3150 W 4th Ave #316, Vancouver, BC V6K 1R7",2 Beds2 Baths868 Sq. Ft.
"$6,888,000","2399 W 35th Ave, Vancouver, BC V6M 1J7","6 Beds6.5 Baths4,673 Sq. Ft."
"$629,000","1040 Pacific St #803, Vancouver, BC V6E 4C1",2 Beds1 Bath691 Sq. Ft.
"$849,900","1477 Fountain Way #101, Vancouver, BC V6H 3W9","2 Beds1.5 Baths1,127 Sq. Ft."
"$6,998,000","4830 Hudson St, Vancouver, BC V6H 3C2","5 Beds4.5 Baths5,753 Sq. Ft."
"$4,850,000","785-791 W 42nd Ave, Vancouver, BC V5Z 2N8","6 Beds5 Baths4,559 Sq. Ft."
"$1,398,000","4986 Moss St, Vancouver, BC V5R 3T4","5 Beds4 Baths1,656 Sq. Ft."
"$2,188,800","6522 Pinehurst Dr, Vancouver, BC V5X 4P1","3 Beds2 Baths1,801 Sq. Ft."
"$729,000","1316 W 11th Ave #203, Vancouver, BC V6H 4G8",1 Bed1 Bath713 Sq. Ft.
"$2,788,800","2767 W 36th Ave, Vancouver, BC V6N 2P7","4 Beds1.5 Baths2,189 Sq. Ft."
