 price_list ,Address,Type,City,Province,Postal Code,Number of Bedroom,Number of Bathroom,Square Ft
1939900,5118 Cambie St ,Apartment, Vancouver,BC,V5Z 2Z7,3,2.5,1335
2059900,5118 Cambie St ,Apartment, Vancouver,BC,V5Z 2Z7,3,2,1315
799000,2770 Sophia St ,Apartment, Vancouver,BC,V5T 0A4,1,1,809
768000,1238 Seymour St ,Apartment, Vancouver,BC,V6B 6J3,1,1,720
1869900,5118 Cambie St ,Apartment, Vancouver,BC,V5Z 2Z7,3,2,1315
3490000,3355 Binning Rd ,Apartment, Vancouver,BC,V6S 0J1,3,3,1600
1198000,2915 Horley St,Single House, Vancouver,BC,V5R 0K4,5,3,1637
1390000,980 Cooperage Way ,Apartment, Vancouver,BC,V6B 0C3,2,2,1099
6780000,692 W 39th Ave,Single House, Vancouver,BC,V5Z 2M3,4,1.5,2452
1980000,6 W 17th Ave ,Apartment, Vancouver,BC,V5Y 1Z4,2,2,1558
1725000,6 W 17th Ave ,Apartment, Vancouver,BC,V5Y 1Z4,1,1.5,1358
4990000,780 W 54th Ave,Single House, Vancouver,BC,V6P 1M5,7,7,5220
1575000,6 W 17th Ave ,Apartment, Vancouver,BC,V5Y 1Z4,2,1.5,1238
599000,489 Interurban Way ,Apartment, Vancouver,BC,V5X 0C7,1,1,561
659000,1718 Venables St ,Apartment, Vancouver,BC,V5L 2H4,1,1,703
3190000,1717 Bayshore Dr ,Apartment, Vancouver,BC,V6G 3H3,3,2.5,1734
1275000,620 Cardero St ,Apartment, Vancouver,BC,V6G 0C7,2,1,724
3380000,3856 W 8th Ave,Single House, Vancouver,BC,V6R 1Z4,3,3,3012
850000,228 E 14th Ave ,Apartment, Vancouver,BC,V5T 2M6,2,2,821
1868000,5980 Oak St,Single House, Vancouver,BC,V6M 2W2,3,3.5,1789
940000,1323 Homer St ,Apartment, Vancouver,BC,V6B 5T1,2,1,950
1999900,46 W King Edward Ave,Single House, Vancouver,BC,V5Y 0N6,3,2.5,1484
2880000,1558 W 64th Ave,Single House, Vancouver,BC,V6P 2N9,5,4,2424
1388000,1328 Homer St ,Apartment, Vancouver,BC,V6B 6A7,2,2,1123
1599000,2508 Watson St ,Apartment, Vancouver,BC,V5T 3G9,3,2.5,1400
1188000,288 W 1st Ave ,Apartment, Vancouver,BC,V5Y 0E9,2,2,887
2099000,4837 Ross St,Single House, Vancouver,BC,V5V 4V1,4,5,2007
849999,6999 Cambie St ,Apartment, Vancouver,BC,V6P 0J1,1,1,694
1688888,1289 Hornby St ,Apartment, Vancouver,BC,V6Z 0G7,2,2,916
709800,433 SW Marine Dr ,Apartment, Vancouver,BC,V5X 0H5,1,1,505
5699000,3421 W 44th Ave,Single House, Vancouver,BC,V6N 3K7,4,4.5,4202
2088000,1786 Island Ave,Single House, Vancouver,BC,V5P 2S6,6,2.5,2540
1949900,6288 Oak St ,Apartment, Vancouver,BC,V6M 2W4,3,2.5,1373
1788800,4341 Windsor St,Single House, Vancouver,BC,V5V 4P6,3,2.5,1530
2888888,2814 W 20th Ave,Single House, Vancouver,BC,V6L 1H3,5,3.5,2744
3299000,626 Kinghorne Mews,Single House, Vancouver,BC,V6Z 3H6,2,2.5,1674
729000,1008 Cambie St ,Apartment, Vancouver,BC,V6B 6J7,1,1,760
7980000,3272 W 27th Ave,Single House, Vancouver,BC,V6L 1W8,6,6.5,5635
1015000,1239 W Georgia St ,Apartment, Vancouver,BC,V6E 4R8,2,2,816
649000,1155 Seymour St ,Apartment, Vancouver,BC,V6B 1K2,1,1,606
1949900,6288 Oak St ,Apartment, Vancouver,BC,V6M 2W4,3,2.5,1492
528000,588 E 5th Ave ,Apartment, Vancouver,BC,V5T 4H6,1,1,686
698000,2689 Kingsway ,Apartment, Vancouver,BC,V5R 0C3,2,2,771
699000,1816 Haro St ,Apartment, Vancouver,BC,V6G 2Y7,1,1,715
1288000,1255 E 41st Ave,Single House, Vancouver,BC,V5W 1R3,4,3,1180
6380000,2175 W 32nd Ave,Single House, Vancouver,BC,V6L 2B1,5,5,4486
539000,2600 E 49th Ave ,Apartment, Vancouver,BC,V5S 1J8,2,1,800
739900,1510 W 1st Ave ,Apartment, Vancouver,BC,V6J 4S3,2,2,992
2149000,4161 Prince Albert St,Single House, Vancouver,BC,V5V 4J5,5,3,2213
988800,2886 E Kent Avenue South,Single House, Vancouver,BC,V5S 4T4,3,2.5,1463
2199900,130 Garden Dr,Single House, Vancouver,BC,V5L 4P4,5,3,2713
1899900,1238 Richards St ,Apartment, Vancouver,BC,V6B 6M6,2,2,1585
959000,2119 Yew St ,Apartment, Vancouver,BC,V6K 3G6,2,1.5,900
777000,1201 Lamey's Mill Rd ,Apartment, Vancouver,BC,V6H 3S8,1,1,910
1288000,1365 Davie St,Apartment, Vancouver,BC,V6E 1N5,2,2,753
3398000,2941 W 34th Ave,Single House, Vancouver,BC,V6N 2J9,4,3.5,2557
565000,188 Keefer St ,Apartment, Vancouver,BC,V6A 0E3,1,1,565
829000,1570 W 7th Ave ,Apartment, Vancouver,BC,V6J 5M1,2,2,950
749900,66 W King Edward Ave,Single House, Vancouver,BC,V5Y 0N6,1,1,665
1988000,1211 Melville St ,Apartment, Vancouver,BC,V6E 0A7,3,3,1360
1188000,456 Moberly Rd ,Apartment, Vancouver,BC,V5Z 4L7,2,2,860
