price_list,address,home_stat,date_sold
"$2,518,110","3111 W 43rd Ave, Vancouver, BC V6N 3J4","6 Beds7.5 Baths6,000 Sq. Ft.","SOLD NOV 16, 2022"
"$587,000","5770 Oak St #301, Vancouver, BC V6M 2V9",1 Bed1 Bath742 Sq. Ft.,"SOLD JUL 4, 2022"
"$932,500","5920 East Blvd #303, Vancouver, BC V6M 3V4",1 Bed1 Bath778 Sq. Ft.,"SOLD JUN 30, 2022"
"$1,024,600","5920 East Blvd #307, Vancouver, BC V6M 3V4",1 Bed1 Bath759 Sq. Ft.,"SOLD FEB 28, 2022"
"$4,525,000","2136 W 48th Ave, Vancouver, BC V6M 2P5","4 Beds2 Baths3,223 Sq. Ft.","SOLD AUG 16, 2022"
"$2,375,000","2242 W 49th Ave, Vancouver, BC V6M 2T9","4 Beds2 Baths1,934 Sq. Ft.","SOLD MAY 16, 2022"
"$6,053,000","6088 Churchill St, Vancouver, BC V6M 3H5","4 Beds2.5 Baths4,734 Sq. Ft.","SOLD JUL 18, 2022"
"$1,220,000","522 W 8th Ave #806, Vancouver, BC V5Z 0A9","2 Beds2.5 Baths1,016 Sq. Ft.","SOLD AUG 15, 2022"
"$1,100,000","503 W 16th Ave #107, Vancouver, BC V5Z 4N3","2 Beds1 Bath1,466 Sq. Ft.","SOLD JUL 29, 2022"
"$1,406,500","525 Wheelhouse Sq #316, Vancouver, BC V5Z 4L8","2 Beds2 Baths1,166 Sq. Ft.","SOLD AUG 11, 2022"
"$540,000","2333 Triumph St #214, Vancouver, BC V5L 1L4",1 Bed1 Bath649 Sq. Ft.,"SOLD MAR 1, 2022"
"$670,000","925 W 10th Ave #209, Vancouver, BC V5Z 1L9",1 Bed1 Bath657 Sq. Ft.,"SOLD FEB 22, 2022"
